SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:CA:E1,2020-07-04 22:08:12.695853,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-77
1,DC:A6:32:33:CA:E1,2020-07-04 22:08:13.158920,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
2,DC:A6:32:33:CA:E1,2020-07-04 22:08:14.553939,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
3,DC:A6:32:33:CA:E1,2020-07-04 22:08:15.066351,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
4,DC:A6:32:33:CA:E1,2020-07-04 22:08:17.071599,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
5,DC:A6:32:33:CA:E1,2020-07-04 22:08:19.076719,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-77
6,DC:A6:32:33:CA:E1,2020-07-04 22:08:21.081633,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
7,DC:A6:32:33:CA:E1,2020-07-04 22:08:22.171141,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
8,DC:A6:32:33:CA:E1,2020-07-04 22:08:23.191076,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
9,DC:A6:32:33:CA:E1,2020-07-04 22:08:24.144346,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-73
10,DC:A6:32:33:CA:E1,2020-07-04 22:08:25.095503,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
11,DC:A6:32:33:CA:E1,2020-07-04 22:08:26.045494,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-77
12,DC:A6:32:33:CA:E1,2020-07-04 22:08:28.050621,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
13,DC:A6:32:33:CA:E1,2020-07-04 22:08:29.300718,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-73
14,DC:A6:32:33:CA:E1,2020-07-04 22:08:31.305715,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
15,DC:A6:32:33:CA:E1,2020-07-04 22:08:33.180767,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
16,DC:A6:32:33:CA:E1,2020-07-04 22:08:35.185891,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-73
17,DC:A6:32:33:CA:E1,2020-07-04 22:08:37.190907,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
18,DC:A6:32:33:CA:E1,2020-07-04 22:08:39.196039,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
19,DC:A6:32:33:CA:E1,2020-07-04 22:08:41.201155,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
20,DC:A6:32:33:CA:E1,2020-07-04 22:08:42.016105,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
21,DC:A6:32:33:CA:E1,2020-07-04 22:08:44.021233,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-77
22,DC:A6:32:33:CA:E1,2020-07-04 22:08:45.463139,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
23,DC:A6:32:33:CA:E1,2020-07-04 22:08:47.468841,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-73
24,DC:A6:32:33:CA:E1,2020-07-04 22:08:48.805087,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
25,DC:A6:32:33:CA:E1,2020-07-04 22:08:49.010022,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
26,DC:A6:32:33:CA:E1,2020-07-04 22:08:50.478879,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
27,DC:A6:32:33:CA:E1,2020-07-04 22:08:51.526393,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
28,DC:A6:32:33:CA:E1,2020-07-04 22:08:52.339087,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-73
29,DC:A6:32:33:CA:E1,2020-07-04 22:08:53.151510,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
30,DC:A6:32:33:CA:E1,2020-07-04 22:08:54.244662,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
31,DC:A6:32:33:CA:E1,2020-07-04 22:08:55.346796,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-77
32,DC:A6:32:33:CA:E1,2020-07-04 22:08:56.376471,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
33,DC:A6:32:33:CA:E1,2020-07-04 22:08:57.218691,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
34,DC:A6:32:33:CA:E1,2020-07-04 22:08:58.094798,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-73
35,DC:A6:32:33:CA:E1,2020-07-04 22:08:59.188568,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
36,DC:A6:32:33:CA:E1,2020-07-04 22:09:01.199328,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
37,DC:A6:32:33:CA:E1,2020-07-04 22:09:03.002697,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
38,DC:A6:32:33:CA:E1,2020-07-04 22:09:04.095607,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
39,DC:A6:32:33:CA:E1,2020-07-04 22:09:06.104458,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
40,DC:A6:32:33:CA:E1,2020-07-04 22:09:08.111980,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-77
41,DC:A6:32:33:CA:E1,2020-07-04 22:09:09.056262,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
42,DC:A6:32:33:CA:E1,2020-07-04 22:09:11.062026,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-73
43,DC:A6:32:33:CA:E1,2020-07-04 22:09:13.067036,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-73
44,DC:A6:32:33:CA:E1,2020-07-04 22:09:15.072830,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-73
