SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:CA:E1,2020-07-04 21:28:52.212262,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-87
1,DC:A6:32:33:CA:E1,2020-07-04 21:28:54.217423,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-79
2,DC:A6:32:33:CA:E1,2020-07-04 21:28:55.297242,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-88
3,DC:A6:32:33:CA:E1,2020-07-04 21:28:56.775993,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-83
4,DC:A6:32:33:CA:E1,2020-07-04 21:28:57.149654,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-77
5,DC:A6:32:33:CA:E1,2020-07-04 21:28:58.008379,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-81
6,DC:A6:32:33:CA:E1,2020-07-04 21:28:59.592086,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-80
7,DC:A6:32:33:CA:E1,2020-07-04 21:29:00.330792,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
8,DC:A6:32:33:CA:E1,2020-07-04 21:29:02.335842,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-80
9,DC:A6:32:33:CA:E1,2020-07-04 21:29:03.371894,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-84
10,DC:A6:32:33:CA:E1,2020-07-04 21:29:05.376968,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-86
11,DC:A6:32:33:CA:E1,2020-07-04 21:29:06.949914,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
12,DC:A6:32:33:CA:E1,2020-07-04 21:29:07.019806,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
13,DC:A6:32:33:CA:E1,2020-07-04 21:29:08.654255,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-80
14,DC:A6:32:33:CA:E1,2020-07-04 21:29:09.007897,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
15,DC:A6:32:33:CA:E1,2020-07-04 21:29:11.012902,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-87
16,DC:A6:32:33:CA:E1,2020-07-04 21:29:12.189177,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-86
17,DC:A6:32:33:CA:E1,2020-07-04 21:29:14.197455,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
18,DC:A6:32:33:CA:E1,2020-07-04 21:29:15.959597,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-87
19,DC:A6:32:33:CA:E1,2020-07-04 21:29:16.158904,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-85
20,DC:A6:32:33:CA:E1,2020-07-04 21:29:17.033875,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
21,DC:A6:32:33:CA:E1,2020-07-04 21:29:19.038928,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
22,DC:A6:32:33:CA:E1,2020-07-04 21:29:21.043867,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
23,DC:A6:32:33:CA:E1,2020-07-04 21:29:23.048847,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-85
24,DC:A6:32:33:CA:E1,2020-07-04 21:29:24.867501,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
25,DC:A6:32:33:CA:E1,2020-07-04 21:29:25.004893,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-81
26,DC:A6:32:33:CA:E1,2020-07-04 21:29:27.010007,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-85
27,DC:A6:32:33:CA:E1,2020-07-04 21:29:28.346197,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-81
28,DC:A6:32:33:CA:E1,2020-07-04 21:29:29.244865,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
29,DC:A6:32:33:CA:E1,2020-07-04 21:29:31.249777,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-86
30,DC:A6:32:33:CA:E1,2020-07-04 21:29:33.254804,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-87
31,DC:A6:32:33:CA:E1,2020-07-04 21:29:34.410303,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-80
32,DC:A6:32:33:CA:E1,2020-07-04 21:29:35.224665,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
33,DC:A6:32:33:CA:E1,2020-07-04 21:29:37.229622,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-87
34,DC:A6:32:33:CA:E1,2020-07-04 21:29:38.392408,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
35,DC:A6:32:33:CA:E1,2020-07-04 21:29:39.128964,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-81
36,DC:A6:32:33:CA:E1,2020-07-04 21:29:40.184529,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-80
37,DC:A6:32:33:CA:E1,2020-07-04 21:29:41.033268,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-86
38,DC:A6:32:33:CA:E1,2020-07-04 21:29:43.038235,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-80
39,DC:A6:32:33:CA:E1,2020-07-04 21:29:45.043265,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-77
40,DC:A6:32:33:CA:E1,2020-07-04 21:29:46.160078,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-85
41,DC:A6:32:33:CA:E1,2020-07-04 21:29:48.164418,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-87
42,DC:A6:32:33:CA:E1,2020-07-04 21:29:49.070597,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
43,DC:A6:32:33:CA:E1,2020-07-04 21:29:50.428833,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
44,DC:A6:32:33:CA:E1,2020-07-04 21:29:51.494315,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
45,DC:A6:32:33:CA:E1,2020-07-04 21:29:53.125505,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-86
46,DC:A6:32:33:CA:E1,2020-07-04 21:29:54.208003,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-80
47,DC:A6:32:33:CA:E1,2020-07-04 21:29:55.116754,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-87
48,DC:A6:32:33:CA:E1,2020-07-04 21:29:57.121777,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-86
49,DC:A6:32:33:CA:E1,2020-07-04 21:29:59.126682,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
50,DC:A6:32:33:CA:E1,2020-07-04 21:30:01.131641,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-85
51,DC:A6:32:33:CA:E1,2020-07-04 21:30:02.457533,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-80
52,DC:A6:32:33:CA:E1,2020-07-04 21:30:03.447926,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-80
53,DC:A6:32:33:CA:E1,2020-07-04 21:30:04.094065,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
54,DC:A6:32:33:CA:E1,2020-07-04 21:30:05.245450,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
55,DC:A6:32:33:CA:E1,2020-07-04 21:30:06.265375,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-80
56,DC:A6:32:33:CA:E1,2020-07-04 21:30:07.077822,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
57,DC:A6:32:33:CA:E1,2020-07-04 21:30:08.167564,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
58,DC:A6:32:33:CA:E1,2020-07-04 21:30:09.425331,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-80
59,DC:A6:32:33:CA:E1,2020-07-04 21:30:11.430268,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-80
60,DC:A6:32:33:CA:E1,2020-07-04 21:30:12.517736,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-84
