SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:CA:E1,2020-07-04 21:23:56.018058,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-79
1,DC:A6:32:33:CA:E1,2020-07-04 21:23:58.023122,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
2,DC:A6:32:33:CA:E1,2020-07-04 21:23:59.170659,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
3,DC:A6:32:33:CA:E1,2020-07-04 21:24:01.175673,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
4,DC:A6:32:33:CA:E1,2020-07-04 21:24:03.180962,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-79
5,DC:A6:32:33:CA:E1,2020-07-04 21:24:05.186091,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
6,DC:A6:32:33:CA:E1,2020-07-04 21:24:06.217185,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
7,DC:A6:32:33:CA:E1,2020-07-04 21:24:08.222237,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
8,DC:A6:32:33:CA:E1,2020-07-04 21:24:10.231096,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-79
9,DC:A6:32:33:CA:E1,2020-07-04 21:24:12.236282,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
10,DC:A6:32:33:CA:E1,2020-07-04 21:24:14.241266,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
11,DC:A6:32:33:CA:E1,2020-07-04 21:24:16.249666,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
12,DC:A6:32:33:CA:E1,2020-07-04 21:24:17.087647,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
13,DC:A6:32:33:CA:E1,2020-07-04 21:24:19.092800,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
14,DC:A6:32:33:CA:E1,2020-07-04 21:24:21.097814,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
15,DC:A6:32:33:CA:E1,2020-07-04 21:24:22.272902,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
16,DC:A6:32:33:CA:E1,2020-07-04 21:24:23.087860,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-79
17,DC:A6:32:33:CA:E1,2020-07-04 21:24:25.093027,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
18,DC:A6:32:33:CA:E1,2020-07-04 21:24:26.118023,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
19,DC:A6:32:33:CA:E1,2020-07-04 21:24:28.123232,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
20,DC:A6:32:33:CA:E1,2020-07-04 21:24:30.128238,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
21,DC:A6:32:33:CA:E1,2020-07-04 21:24:31.191967,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
22,DC:A6:32:33:CA:E1,2020-07-04 21:24:32.103276,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-79
23,DC:A6:32:33:CA:E1,2020-07-04 21:24:34.108446,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
24,DC:A6:32:33:CA:E1,2020-07-04 21:24:35.255988,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
25,DC:A6:32:33:CA:E1,2020-07-04 21:24:36.068451,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
