SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:CA:E1,2020-07-04 23:00:11.762832,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
1,DC:A6:32:33:CA:E1,2020-07-04 23:00:12.044159,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
2,DC:A6:32:33:CA:E1,2020-07-04 23:00:13.085793,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
3,DC:A6:32:33:CA:E1,2020-07-04 23:00:14.098852,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-97
4,DC:A6:32:33:CA:E1,2020-07-04 23:00:15.138247,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
5,DC:A6:32:33:CA:E1,2020-07-04 23:00:17.143389,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
6,DC:A6:32:33:CA:E1,2020-07-04 23:00:18.174585,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
7,DC:A6:32:33:CA:E1,2020-07-04 23:00:19.067094,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
8,DC:A6:32:33:CA:E1,2020-07-04 23:00:20.104614,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
9,DC:A6:32:33:CA:E1,2020-07-04 23:00:22.109750,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
10,DC:A6:32:33:CA:E1,2020-07-04 23:00:23.028422,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
11,DC:A6:32:33:CA:E1,2020-07-04 23:00:24.886021,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
12,DC:A6:32:33:CA:E1,2020-07-04 23:00:25.060283,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-75
13,DC:A6:32:33:CA:E1,2020-07-04 23:00:26.063464,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
14,DC:A6:32:33:CA:E1,2020-07-04 23:00:28.068557,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-75
15,DC:A6:32:33:CA:E1,2020-07-04 23:00:30.073846,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-75
16,DC:A6:32:33:CA:E1,2020-07-04 23:00:32.078732,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-75
17,DC:A6:32:33:CA:E1,2020-07-04 23:00:33.489366,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
18,DC:A6:32:33:CA:E1,2020-07-04 23:00:34.513727,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
19,DC:A6:32:33:CA:E1,2020-07-04 23:00:35.753709,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
20,DC:A6:32:33:CA:E1,2020-07-04 23:00:36.084989,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
21,DC:A6:32:33:CA:E1,2020-07-04 23:00:38.090046,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
22,DC:A6:32:33:CA:E1,2020-07-04 23:00:39.285078,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
23,DC:A6:32:33:CA:E1,2020-07-04 23:00:40.025070,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
24,DC:A6:32:33:CA:E1,2020-07-04 23:00:41.126348,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
25,DC:A6:32:33:CA:E1,2020-07-04 23:00:42.727600,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
26,DC:A6:32:33:CA:E1,2020-07-04 23:00:43.070670,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
27,DC:A6:32:33:CA:E1,2020-07-04 23:00:44.375182,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
28,DC:A6:32:33:CA:E1,2020-07-04 23:00:46.380275,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
29,DC:A6:32:33:CA:E1,2020-07-04 23:00:47.125182,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
30,DC:A6:32:33:CA:E1,2020-07-04 23:00:48.405257,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
31,DC:A6:32:33:CA:E1,2020-07-04 23:00:49.184011,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
32,DC:A6:32:33:CA:E1,2020-07-04 23:00:50.201489,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
33,DC:A6:32:33:CA:E1,2020-07-04 23:00:51.005267,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
34,DC:A6:32:33:CA:E1,2020-07-04 23:00:52.284153,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
35,DC:A6:32:33:CA:E1,2020-07-04 23:00:53.072261,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
36,DC:A6:32:33:CA:E1,2020-07-04 23:00:54.257832,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
37,DC:A6:32:33:CA:E1,2020-07-04 23:00:55.717850,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
38,DC:A6:32:33:CA:E1,2020-07-04 23:00:56.095328,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
39,DC:A6:32:33:CA:E1,2020-07-04 23:00:57.184188,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
40,DC:A6:32:33:CA:E1,2020-07-04 23:00:58.100448,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
41,DC:A6:32:33:CA:E1,2020-07-04 23:00:59.655507,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
42,DC:A6:32:33:CA:E1,2020-07-04 23:01:00.117898,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
43,DC:A6:32:33:CA:E1,2020-07-04 23:01:01.405472,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
44,DC:A6:32:33:CA:E1,2020-07-04 23:01:03.410589,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-75
45,DC:A6:32:33:CA:E1,2020-07-04 23:01:04.369324,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
46,DC:A6:32:33:CA:E1,2020-07-04 23:01:05.039890,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
47,DC:A6:32:33:CA:E1,2020-07-04 23:01:06.563123,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
48,DC:A6:32:33:CA:E1,2020-07-04 23:01:07.086784,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
49,DC:A6:32:33:CA:E1,2020-07-04 23:01:09.091872,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
50,DC:A6:32:33:CA:E1,2020-07-04 23:01:10.006866,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
51,DC:A6:32:33:CA:E1,2020-07-04 23:01:12.011973,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
52,DC:A6:32:33:CA:E1,2020-07-04 23:01:14.017069,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
53,DC:A6:32:33:CA:E1,2020-07-04 23:01:16.010118,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
54,DC:A6:32:33:CA:E1,2020-07-04 23:01:17.495834,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
55,DC:A6:32:33:CA:E1,2020-07-04 23:01:18.055769,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
56,DC:A6:32:33:CA:E1,2020-07-04 23:01:19.613009,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
57,DC:A6:32:33:CA:E1,2020-07-04 23:01:20.024691,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
58,DC:A6:32:33:CA:E1,2020-07-04 23:01:21.645976,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
59,DC:A6:32:33:CA:E1,2020-07-04 23:01:22.359601,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
60,DC:A6:32:33:CA:E1,2020-07-04 23:01:23.584664,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
61,DC:A6:32:33:CA:E1,2020-07-04 23:01:24.043386,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-72
62,DC:A6:32:33:CA:E1,2020-07-04 23:01:25.038560,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
63,DC:A6:32:33:CA:E1,2020-07-04 23:01:27.043559,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-74
64,DC:A6:32:33:CA:E1,2020-07-04 23:01:28.414781,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
65,DC:A6:32:33:CA:E1,2020-07-04 23:01:29.248515,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-73
