SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:CA:E1,2020-07-04 23:03:57.854342,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
1,DC:A6:32:33:CA:E1,2020-07-04 23:03:58.046421,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
2,DC:A6:32:33:CA:E1,2020-07-04 23:03:59.468074,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-97
3,DC:A6:32:33:CA:E1,2020-07-04 23:04:01.473172,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-88
4,DC:A6:32:33:CA:E1,2020-07-04 23:04:02.092559,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-96
5,DC:A6:32:33:CA:E1,2020-07-04 23:04:04.098230,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
6,DC:A6:32:33:CA:E1,2020-07-04 23:04:05.375742,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
7,DC:A6:32:33:CA:E1,2020-07-04 23:04:06.977035,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-96
8,DC:A6:32:33:CA:E1,2020-07-04 23:04:07.028105,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
9,DC:A6:32:33:CA:E1,2020-07-04 23:04:08.172058,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
10,DC:A6:32:33:CA:E1,2020-07-04 23:04:10.017682,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-97
11,DC:A6:32:33:CA:E1,2020-07-04 23:04:11.052100,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
12,DC:A6:32:33:CA:E1,2020-07-04 23:04:12.680654,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
13,DC:A6:32:33:CA:E1,2020-07-04 23:04:13.502225,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
14,DC:A6:32:33:CA:E1,2020-07-04 23:04:14.089708,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
15,DC:A6:32:33:CA:E1,2020-07-04 23:04:15.449807,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
16,DC:A6:32:33:CA:E1,2020-07-04 23:04:16.541027,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-88
17,DC:A6:32:33:CA:E1,2020-07-04 23:04:17.034163,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
18,DC:A6:32:33:CA:E1,2020-07-04 23:04:18.672389,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
19,DC:A6:32:33:CA:E1,2020-07-04 23:04:19.258462,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-98
20,DC:A6:32:33:CA:E1,2020-07-04 23:04:20.298530,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
21,DC:A6:32:33:CA:E1,2020-07-04 23:04:21.114776,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
22,DC:A6:32:33:CA:E1,2020-07-04 23:04:22.041006,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-85
23,DC:A6:32:33:CA:E1,2020-07-04 23:04:23.461027,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-95
24,DC:A6:32:33:CA:E1,2020-07-04 23:04:25.469477,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
25,DC:A6:32:33:CA:E1,2020-07-04 23:04:26.048602,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
26,DC:A6:32:33:CA:E1,2020-07-04 23:04:28.014842,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
27,DC:A6:32:33:CA:E1,2020-07-04 23:04:30.020068,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
28,DC:A6:32:33:CA:E1,2020-07-04 23:04:32.025110,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-85
29,DC:A6:32:33:CA:E1,2020-07-04 23:04:33.121296,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-97
30,DC:A6:32:33:CA:E1,2020-07-04 23:04:34.208769,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
31,DC:A6:32:33:CA:E1,2020-07-04 23:04:35.504399,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
32,DC:A6:32:33:CA:E1,2020-07-04 23:04:36.102514,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
33,DC:A6:32:33:CA:E1,2020-07-04 23:04:38.111196,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-85
34,DC:A6:32:33:CA:E1,2020-07-04 23:04:39.153935,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
35,DC:A6:32:33:CA:E1,2020-07-04 23:04:40.203921,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-96
36,DC:A6:32:33:CA:E1,2020-07-04 23:04:42.208949,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
37,DC:A6:32:33:CA:E1,2020-07-04 23:04:44.013994,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
38,DC:A6:32:33:CA:E1,2020-07-04 23:04:45.349000,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-85
39,DC:A6:32:33:CA:E1,2020-07-04 23:04:46.437748,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
40,DC:A6:32:33:CA:E1,2020-07-04 23:04:48.442878,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
41,DC:A6:32:33:CA:E1,2020-07-04 23:04:49.153237,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
42,DC:A6:32:33:CA:E1,2020-07-04 23:04:50.374225,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
43,DC:A6:32:33:CA:E1,2020-07-04 23:04:51.020980,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
44,DC:A6:32:33:CA:E1,2020-07-04 23:04:53.024767,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-84
45,DC:A6:32:33:CA:E1,2020-07-04 23:04:55.032596,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
46,DC:A6:32:33:CA:E1,2020-07-04 23:04:56.287989,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
47,DC:A6:32:33:CA:E1,2020-07-04 23:04:58.293031,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
48,DC:A6:32:33:CA:E1,2020-07-04 23:05:00.301356,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
49,DC:A6:32:33:CA:E1,2020-07-04 23:05:01.897513,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-94
50,DC:A6:32:33:CA:E1,2020-07-04 23:05:02.028026,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-83
51,DC:A6:32:33:CA:E1,2020-07-04 23:05:04.031886,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
52,DC:A6:32:33:CA:E1,2020-07-04 23:05:05.308178,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-96
53,DC:A6:32:33:CA:E1,2020-07-04 23:05:07.313243,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-88
54,DC:A6:32:33:CA:E1,2020-07-04 23:05:08.147006,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-97
55,DC:A6:32:33:CA:E1,2020-07-04 23:05:09.239456,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-85
56,DC:A6:32:33:CA:E1,2020-07-04 23:05:10.332049,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
57,DC:A6:32:33:CA:E1,2020-07-04 23:05:11.152075,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
58,DC:A6:32:33:CA:E1,2020-07-04 23:05:13.049577,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
59,DC:A6:32:33:CA:E1,2020-07-04 23:05:14.137057,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-96
60,DC:A6:32:33:CA:E1,2020-07-04 23:05:15.249583,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
61,DC:A6:32:33:CA:E1,2020-07-04 23:05:17.254648,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
62,DC:A6:32:33:CA:E1,2020-07-04 23:05:18.215257,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-85
63,DC:A6:32:33:CA:E1,2020-07-04 23:05:20.219744,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
64,DC:A6:32:33:CA:E1,2020-07-04 23:05:22.224763,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-95
65,DC:A6:32:33:CA:E1,2020-07-04 23:05:23.918547,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
66,DC:A6:32:33:CA:E1,2020-07-04 23:05:24.025330,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
67,DC:A6:32:33:CA:E1,2020-07-04 23:05:26.031141,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-96
68,DC:A6:32:33:CA:E1,2020-07-04 23:05:28.036171,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
69,DC:A6:32:33:CA:E1,2020-07-04 23:05:30.041302,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-95
70,DC:A6:32:33:CA:E1,2020-07-04 23:05:32.046240,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-96
71,DC:A6:32:33:CA:E1,2020-07-04 23:05:33.710007,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
72,DC:A6:32:33:CA:E1,2020-07-04 23:05:34.081256,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-86
73,DC:A6:32:33:CA:E1,2020-07-04 23:05:36.086287,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-94
74,DC:A6:32:33:CA:E1,2020-07-04 23:05:37.511296,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-87
