SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:CA:E1,2020-07-04 22:36:44.603662,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
1,DC:A6:32:33:CA:E1,2020-07-04 22:36:45.293118,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-93
2,DC:A6:32:33:CA:E1,2020-07-04 22:36:47.297973,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
3,DC:A6:32:33:CA:E1,2020-07-04 22:36:48.497983,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
4,DC:A6:32:33:CA:E1,2020-07-04 22:36:49.151737,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-90
5,DC:A6:32:33:CA:E1,2020-07-04 22:36:50.265545,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
6,DC:A6:32:33:CA:E1,2020-07-04 22:36:51.378196,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-93
7,DC:A6:32:33:CA:E1,2020-07-04 22:36:52.611888,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-93
8,DC:A6:32:33:CA:E1,2020-07-04 22:36:53.019356,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-93
9,DC:A6:32:33:CA:E1,2020-07-04 22:36:54.291950,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-90
10,DC:A6:32:33:CA:E1,2020-07-04 22:36:56.297100,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
11,DC:A6:32:33:CA:E1,2020-07-04 22:36:58.302170,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-93
12,DC:A6:32:33:CA:E1,2020-07-04 22:36:59.204641,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
13,DC:A6:32:33:CA:E1,2020-07-04 22:37:01.209704,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-93
14,DC:A6:32:33:CA:E1,2020-07-04 22:37:02.240969,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
15,DC:A6:32:33:CA:E1,2020-07-04 22:37:03.607279,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
16,DC:A6:32:33:CA:E1,2020-07-04 22:37:04.421160,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
17,DC:A6:32:33:CA:E1,2020-07-04 22:37:05.087356,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-93
18,DC:A6:32:33:CA:E1,2020-07-04 22:37:06.048659,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
19,DC:A6:32:33:CA:E1,2020-07-04 22:37:08.053722,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
20,DC:A6:32:33:CA:E1,2020-07-04 22:37:10.058797,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-90
21,DC:A6:32:33:CA:E1,2020-07-04 22:37:11.112575,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
22,DC:A6:32:33:CA:E1,2020-07-04 22:37:13.014484,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
23,DC:A6:32:33:CA:E1,2020-07-04 22:37:14.373986,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
24,DC:A6:32:33:CA:E1,2020-07-04 22:37:15.463985,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
25,DC:A6:32:33:CA:E1,2020-07-04 22:37:16.012677,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
26,DC:A6:32:33:CA:E1,2020-07-04 22:37:17.214176,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
27,DC:A6:32:33:CA:E1,2020-07-04 22:37:19.219123,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
28,DC:A6:32:33:CA:E1,2020-07-04 22:37:21.224385,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
29,DC:A6:32:33:CA:E1,2020-07-04 22:37:23.230382,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
30,DC:A6:32:33:CA:E1,2020-07-04 22:37:24.135367,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
31,DC:A6:32:33:CA:E1,2020-07-04 22:37:25.224632,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
32,DC:A6:32:33:CA:E1,2020-07-04 22:37:26.312730,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-93
33,DC:A6:32:33:CA:E1,2020-07-04 22:37:27.129608,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
34,DC:A6:32:33:CA:E1,2020-07-04 22:37:29.015305,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
35,DC:A6:32:33:CA:E1,2020-07-04 22:37:30.253966,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-93
36,DC:A6:32:33:CA:E1,2020-07-04 22:37:31.073964,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
37,DC:A6:32:33:CA:E1,2020-07-04 22:37:32.020145,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
38,DC:A6:32:33:CA:E1,2020-07-04 22:37:34.025057,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
39,DC:A6:32:33:CA:E1,2020-07-04 22:37:35.011275,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
40,DC:A6:32:33:CA:E1,2020-07-04 22:37:36.048796,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-90
41,DC:A6:32:33:CA:E1,2020-07-04 22:37:38.053908,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
42,DC:A6:32:33:CA:E1,2020-07-04 22:37:40.058139,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-92
43,DC:A6:32:33:CA:E1,2020-07-04 22:37:41.538724,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
44,DC:A6:32:33:CA:E1,2020-07-04 22:37:42.358062,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-91
